,Australia,Canada,Switzerland,Germany,Euro area,Spain,France,Italy,Japan,Norway,New Zealand,Sweden,United States
1974-01-01,387414341096.21,553271533579.336,374720496445.842,1604689380211.74,5398796710929.7,503642087365.873,1088078748095.25,1015522894876.96,1767745894180.59,125294905445.903,73613610013.5644,219396754078.248,5910347106000.0
1975-01-01,392589303732.447,561821810372.283,347428948661.489,1590780912725.35,5355287986618.05,506372851558.64,1075844942752.05,994296811532.999,1822397100505.04,131499638317.66,72338855636.4812,224997651941.466,5898194298000.0
1976-01-01,402751234563.422,594909046440.392,342552171792.041,1669512770702.66,5624953746529.2,523102354316.091,1123030885020.76,1065144288949.42,1894837095328.83,139160194275.085,73010748065.2006,227378363017.915,6215991006000.0
1977-01-01,417230643180.121,615938050290.886,350888699908.85,1725395003999.27,5799638726971.4,537951003054.763,1163152897116.3,1092417317403.44,1978026847421.9,144950253177.638,70136798061.3331,223748816402.285,6503430024000.0
1978-01-01,420958560166.314,638949350316.31,352324127799.855,1777303390393.64,5979487447306.01,545821245092.893,1208457477209.34,1127813165176.61,2082307265729.79,150558892218.663,70360213392.8416,227667884308.032,6863408304000.0
1979-01-01,438009144460.798,662751487775.805,361102326996.132,1851067938078.88,6212846829753.85,546048013994.557,1253113736744.51,1195021350441.23,2196501867263.32,157142089490.545,71902247947.14,236410339139.97,7080703003000.0
1980-01-01,451305594857.179,677180907601.953,377720174344.816,1877146314061.1,6348411409999.6,558108730888.773,1274121102921.85,1236010778605.15,2258390310750.45,164314436292.239,72825593891.1069,240429247341.063,7062521476000.0
1981-01-01,466379040331.542,700307077493.492,383768742444.189,1887080933535.74,6383038662707.78,557369411412.156,1289261671159.12,1246445523219.87,2354611841488.41,166940746098.998,76215882424.7285,241522792694.468,7241747173000.0
1982-01-01,481887942318.357,678134303092.571,378743607542.592,1879629968652.38,6427015573366.67,564316808336.919,1320752051309.49,1251600642977.97,2431837052482.32,167333595122.455,76924405934.5526,244538602536.365,7111177473000.0
1983-01-01,471169061968.518,695509823673.731,381164080521.666,1909185460396.69,6516701975920.76,574305868280.556,1337420703941.97,1266234401259.98,2520117566440.9,173981771210.086,79610077581.5478,249186397767.435,7437138985000.0
1984-01-01,492813360779.094,736534953481.405,392631235669.911,1963080770242.18,6673397300275.64,584555434084.322,1358946108345.02,1307081253688.92,2631276932026.82,184511811511.832,83426105754.9818,259725824385.74,7975324064000.0
1985-01-01,518826292325.462,771429628504.867,407054920540.008,2008780019603.59,6827202947845.85,598125513453.225,1380268983374.53,1343654507665.51,2767045767160.42,194758499534.98,84773628550.0096,265336872885.074,8307861210000.0
1986-01-01,539404649863.998,787795360275.092,414620576468.826,2054727633425.57,6999206725507.27,617584460083.103,1413251001531.16,1382082648621.19,2858193572214.44,202630856670.456,87067151100.9606,272477945632.05,8595533786000.0
1987-01-01,553211370887.306,819874511491.844,421194296070.306,2083538029569.15,7176477287709.36,651842627761.889,1449327711875.27,1426198182611.06,2991067029860.23,206183982639.248,87913160968.6361,281616428091.065,8892477646000.0
1988-01-01,585064279420.793,856037856755.414,434999343626.195,2160779694125.99,7486387332147.63,685049605204.658,1519101594661.88,1486018315701.77,3190321043519.37,205657951844.58,87601472829.0242,288823101483.144,9263914872000.0
1989-01-01,607725922300.842,876046284221.599,453838270018.913,2244975592426.02,7794165537388.84,718117156819.54,1586020592048.64,1536370315136.6,3347469412110.95,207793200372.016,87742865112.7112,296490797089.73,9604107859000.0
1990-01-01,629466776079.67,877824201432.118,470515127240.656,2362949197161.71,8074057958810.7,745271992193.864,1630899061497.0,1566879171365.36,3509518031571.16,211808370362.716,87877226590.4217,298728338303.953,9785238028000.0
1991-01-01,627060575115.855,859468413002.863,466206071277.777,2483654820949.25,8264846663029.75,764246620913.803,1651067777946.68,1590984785719.0,3633170889061.82,218341469463.677,86918728011.2973,295304986687.656,9774639354000.0
1992-01-01,629746209994.416,867121689189.495,466002185360.324,2533680205307.88,8357590724327.68,771348118083.944,1676098974581.98,1604257981628.63,3665890719855.77,226145995659.812,87869415436.1129,291883604521.682,10118950750000.0
1993-01-01,655230327244.458,890167242008.604,465415099988.28,2509019802333.05,8300535198143.85,763391725698.396,1670081815454.98,1590576776777.14,3649056226897.65,232580262478.041,93486046130.5113,285854408950.021,10397403618000.0
1994-01-01,681311039099.666,930171796213.96,471324743945.934,2574193723450.54,8509336327958.66,781584842385.514,1709890902753.87,1624790459646.09,3688589488080.59,244337831972.719,98271508917.5195,297333335691.278,10816317373000.0
1995-01-01,707786283507.272,955122057570.817,473591186505.167,2612945784475.61,8719497561287.31,803136997144.358,1749300344619.07,1671695507645.8,3785636263364.36,254491515965.692,102912455238.062,309506914307.512,11106673921000.0
1996-01-01,735134359250.411,971253698607.852,475823127148.128,2640072232962.63,8871483760275.26,824078081021.613,1773739467452.5,1694189587811.19,3904273220115.03,267287258447.866,106628492825.886,314783454064.387,11525703481000.0
1997-01-01,763901984857.931,1012824977566.98,486583035615.464,2689040748598.27,9116714437876.1,853640232062.29,1818562957208.6,1726814956377.67,3942583070731.74,281412338534.67,108845461043.603,324431161307.233,12038266261000.0
1998-01-01,799524373774.542,1052253104690.22,501326351582.974,2745407383018.29,9390292581847.4,890363641965.936,1881350559081.67,1757973143930.53,3892499235707.73,288922351968.585,109780524765.076,338205617434.591,12577957790000.0
1999-01-01,839721933537.843,1106349473421.66,509661911268.691,2803887763760.38,9672972584417.29,929618577504.041,1945303460153.52,1787471785343.84,3879501014654.61,294908959388.24,115682283163.932,352413884474.603,13180243872000.0
2000-01-01,872651653770.258,1163199674646.76,529837997852.025,2884562510841.22,10050398133574.7,977964704117.097,2025858476369.78,1856863206832.4,3986755544464.21,304696827529.193,119003047472.934,368734580231.656,13717679619000.0
2001-01-01,890323770708.066,1185010810019.45,538186453673.233,2931769559373.65,10270033710725.8,1016292009212.74,2064338989662.44,1894119928516.21,4002148544213.45,310995308463.367,123062801652.748,373752198445.95,13848757308000.0
2002-01-01,925754967998.798,1220552310131.93,537792409245.141,2925076028983.88,10367290674625.9,1044295489916.35,2086380974391.26,1899232719248.01,4003827945768.8,315279446109.331,128863789117.662,382265044440.179,14084248131000.0
2003-01-01,954367849882.364,1242600185625.17,537618172697.61,2909575203020.53,10445394784084.3,1074990359309.76,2106573536491.98,1900496731808.66,4065291729511.6,318258551203.885,134957716138.705,389455236312.007,14477988212000.0
2004-01-01,994683066030.821,1281025904373.69,552143052382.242,2943395181897.32,10686912184842.3,1108471272156.69,2166995343999.61,1928510465520.9,4154163710034.48,331035320863.904,140475137990.551,405732636290.608,15035068144000.0
2005-01-01,1026057036344.3,1322152656328.7,567325324289.261,2969464751675.73,10876275576480.3,1147835586804.09,2207920477001.03,1943213636038.87,4229100705435.47,339924026041.128,145185608535.714,417065466380.565,15558822251000.0
2006-01-01,1054328458936.16,1357030300358.29,590436050103.238,3083959477633.35,11237542120581.1,1194247575041.8,2267844863251.48,1978181374934.65,4287138774363.71,348291164617.133,149221146114.821,436567442203.266,15992063824000.0
2007-01-01,1094111663603.91,1384848127059.22,613559744788.948,3173089212221.55,11575961303980.0,1236446314561.82,2325232266173.56,2007108163418.51,4350758602409.6,358440508422.031,153772257535.871,450646355053.726,16312522122000.0
2008-01-01,1133349428616.57,1398632992699.8,630788401993.241,3201977117826.16,11624175362231.8,1245931907512.54,2334072134826.58,1986572667525.98,4297492743392.06,360167903275.809,151866196412.071,446486334527.751,16331051067000.0
2009-01-01,1154798699180.01,1357861634788.53,616296829272.353,3024422218182.65,11103080740375.0,1198983535253.48,2268145065263.81,1881181927545.97,4052826324007.5,353179332437.739,151787298244.391,427485779310.793,15910281498000.0
2010-01-01,1180435002406.5,1399830508747.17,636285784211.754,3149837977159.83,11338614919727.6,1200112046333.33,2313515331848.51,1909947188705.16,4218907820177.17,355959036891.599,153980049861.399,452069357246.318,16339094225000.0
2011-01-01,1208849019421.68,1443745912933.41,647822333890.064,3268207907666.64,11540240749125.6,1192432281030.21,2369909039492.57,1923230167189.95,4219912322037.65,359894719437.842,157431269722.275,466372427023.667,16594704135000.0
2012-01-01,1256196122893.84,1469093201563.91,655461803595.119,3283708733629.98,11434319455839.1,1158267740706.22,2374265768198.23,1863124631879.35,4277925608850.6,369676511315.49,161035600341.707,464439473181.128,16974575729000.0
2013-01-01,1288884775424.06,1503261570659.63,667208623354.645,3296391223767.13,11414909466215.9,1141735528202.44,2392826743884.24,1829252559153.33,4363702302795.86,373433130102.304,165480472114.228,469723477690.599,17334068403000.0
2014-01-01,1322334997273.41,1546457292386.53,682887233860.616,3367906396055.51,11580654068039.4,1159095456184.34,2416703157283.96,1829227175717.41,4376627829637.51,381081533533.12,171693137607.002,480507219292.52,17771549056000.0
2015-01-01,1351296372254.31,1556508816217.14,694118186379.628,3423568450957.03,11828599572765.3,1206164777553.12,2442483452642.5,1845428048839.1,4444930651964.18,388159512245.53,178104220784.881,501698263620.663,18295019000000.0
2016-01-01,1388583854795.63,1572673953080.04,708477337578.722,3502129441730.16,12044172080940.9,1241326362774.56,2463489569508.32,1868241619898.42,4478437728055.55,392680500155.007,184780121689.709,513486872435.55,18627887993000.0
2017-01-01,1420237898460.73,1620386284372.81,718132463597.499,3597248136065.74,12357018842215.9,1277275696600.78,2514819204022.09,1898202609756.92,4553466417292.21,402355151389.893,191057624435.572,522858808973.771,19085691122935.2
2018-01-01,1461119016244.31,1664832887596.13,738674253452.249,3637409365003.91,12575550971089.4,1307871701738.56,2556210832827.89,1913894038939.75,4582763011477.35,405690275911.956,197743680329.155,532808626955.913,19651869117582.5
2019-01-01,1492847874023.89,1696605089927.38,747109782866.389,3673343090202.78,12780330570620.4,1333521400772.79,2608036639287.32,1922107755102.45,4564332550094.45,410249333471.117,202414311267.63,546393370671.191,20159639089698.1
2020-01-01,1491062566266.52,1611126164920.14,731108654673.334,3522914640155.8,12007290120801.2,1187633217272.88,2413981867221.76,1751650987476.49,4375044252274.51,405005642244.497,201554239788.002,535436339492.279,19723580221938.2
2021-01-01,1522541404227.63,1696305710720.04,770529214794.414,3652205602572.65,12771092524492.2,1267004457572.21,2580120255345.61,1908092024347.85,4487015645273.13,420836044228.583,210717394654.719,567227918052.988,20917853444668.3
2022-01-01,1587133480804.53,1761102321572.64,790318933740.326,3702230996916.9,13223961016884.5,1345296618919.51,2646451031159.26,1997042745688.22,4529854841042.58,433484840343.081,216564470789.24,575505409872.88,21443388432051.0
2023-01-01,1641762491418.85,1783097209318.73,795978145781.87,3692366831510.82,13277044442520.6,1381292229418.88,2671234714330.38,2010974774790.36,4605911988191.95,435564038441.666,218152542756.614,573717486152.92,22062578283266.8
